Date and Time,Temp,Hum,BattPer
2/23/21 18:21,21.7*C,Humidity=37.6%,Battery:86%
2/23/21 18:26,19.2*C,Humidity=42.5%,Battery:82%
2/23/21 18:31,18.8*C,Humidity=42.4%,Battery:79%
2/23/21 18:36,18.7*C,Humidity=41.8%,Battery:75%
2/23/21 18:41,18.7*C,Humidity=39.7%,Battery:71%
2/23/21 18:46,18.5*C,Humidity=40.2%,Battery:68%
2/23/21 18:51,18.5*C,Humidity=39.7%,Battery:64%
2/23/21 18:56,18.3*C,Humidity=37.8%,Battery:61%
2/23/21 19:01,18.0*C,Humidity=37.0%,Battery:58%
2/23/21 19:06,18.0*C,Humidity=38.8%,Battery:54%
2/23/21 19:11,18.5*C,Humidity=34.8%,Battery:50%
2/23/21 19:16,18.3*C,Humidity=35.4%,Battery:46%
